No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,全国地方公共団体コード,必,1,1,localGovernmentCode,全国地方公共団体コード（6桁、都道府県と市区町村まで含む）を記載。,文字列（半角数字）,131016,
2,pd,町字ID,必,1,1,streetAddressId,アドレスベースレジストリの町字IDを記載。,文字列（半角文字）,1111000,
3,pd,都道府県,必,1,1,prefecture,都道府県を記載。,文字列,東京都,IMI
4,pd,市区町村（郡）,必,1,1,cityAndCounty,市区町村（郡名および政令市区名を含む）記載。,文字列,千代田区,IMI
5,pd,町字,必,1,1,streetAddress,町字を記載。,文字列,永田町１丁目,
6,pd,番地以下,必,1,1,cityBlock,番地以下（街区符号、住居番号または地番）を記載。,文字列,７ー１,
7,pd,建物名等(方書),必,1,1,buildingNameEtc,建物名、部屋番号、フロア名などを記載。,文字列,きおいビル19階Northフロア,
8,pd,連結表記,,0,1,fullAddress,都道府県から建物名まで連結して記載。,文字列,東京都千代田区紀尾井町1-3東京ガーデンテラス紀尾井町19階,
9,pd,緯度,,0,1,latitude,緯度（Geoコーダーで自動入力）を記載。,数値（半角数字）,35.680959,
10,pd,経度,,0,1,longitude,経度（Geoコーダーで自動入力）を記載。,数値（半角数字）,139.767306,
11,pd,座標参照系,,0,1,coordinateReferenceSystem,座標参照系（旧日本測地系、世界測地系などの種別）を記載。,文字列,世界測地系,
12,pd,座標参照系コード,,0,1,coordinateReferenceSystemCode,座標参照系コード,文字列,EPSG:6668,
13,pd,国,,0,1,country,国名を記載。,pd:コード情報型,"{""種別"": ""JPN"",""種別関連情報"": ""日本""}",schema.org
14,pd,郡,,0,1,countyGroup,郡名を記載。,文字列,（コアデータパーツ他、参照）,
15,pd,市区町村,,0,1,city,市区町村名を記載。,文字列,千代田区,IMI
16,pd,政令市区,,0,1,ward,政令市区名を記載。,文字列,（コアデータパーツ他、参照）,IMI
17,pd,大字・町,,0,1,largerSectionTown,大字および町を記載。,文字列,紀尾井町,
18,pd,小字,,0,1,smallAdministrativeUnit,小字および番地補足（イ・甲・北など）を記載。,文字列,甲１－１－１,
19,pd,住居表示フラグ,,0,1,displayedAddressFlag,住居表示フラグを記載。,数値（半角数字）,1:住居表示実施,
20,pd,街区符号,,0,1,areaCode,街区符号を記載。,文字列,321,
21,pd,住居番号,,0,1,residenceNumber,住居番号を記載。,文字列,456,
22,pd,地番,,0,1,landNumber,地番を記載。,文字列,123-456,
23,pd,建物名,,0,1,buildingName,建物名を記載。,文字列,きおいビル,
24,pd,フロア名,,0,1,floorName,フロア名を記載。,文字列,Northフロア,
25,pd,部屋番号,,0,1,locatorName,部屋番号を記載。,文字列,301号,
