No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,子供預かり種別（無料/有料）,,0,1,childCareType,料金の種別,文字列,有料,
2,pd,子供預かり（料金）,,0,1,childCareFee,有料の場合の料金,pd:コード情報型,"{""種別"": ""1時間あたり料金"", ""種別関連情報"": ""700円""}",
3,pd,子供預かり（料金備考）,,0,1,childCareFeeRemarks,料金の備考,文字列,0歳児預かりは要予約,
4,pd,最少年齢,,0,1,minAge,参加可能年齢（下限）,数値（半角数字）,0,
5,pd,最少月齢,,0,1,minAgeInMonths,参加可能月齢,文字列,一か月未満，三カ月未満，６カ月未満など,
6,pd,最大年齢,,0,1,maxAge,参加可能年齢（上限）,数値（半角数字）,5,
7,pd,子供預かり開所時間,,0,1,childCareOpeningHours,対応時間,時刻（HH:MM）,13:00,
8,pd,子供預かり閉所時間,,0,1,childCareClosingHours,対応時間,時刻（HH:MM）,16:00,
9,pd,授乳室,,0,1,nursery,有無を記入,文字列,有,
10,pd,おむつ替えコーナー,,0,1,diaperChangingCorner,有無を記入,文字列,有,
11,pd,飲食可否,,0,1,foodAndDrinkAvailable,有無を記入,文字列,有,
12,pd,ベビーカー貸出,,0,1,strollerRental,有無を記入,文字列,有,
13,pd,ベビーカー利用,,0,1,strollerUse,有無を記入,文字列,有,
14,pd,備考,,0,1,remarks,その他子育て支援系項目,文字列,,
