No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,連絡先名称,,0,1,contactPointName,連絡先名称,文字列,デジタルエージェンシー,
2,pd,連絡先電話番号,必(*1),1(*1),n,contactPointPhoneNumber,電話番号、携帯電話番号,文字列（半角文字）,012-3456-7890,
3,pd,連絡先内線番号,必(*1),1(*1),1,contactPointExtension,内線番号,文字列（半角数字）,1234,
4,pd,連絡先メールアドレス,必(*1),1(*1),n,contactPointEmailAddress,連絡先メールアドレス,文字列,XXXX@ooo.lg.jp,
5,pd,連絡先FormURL,必(*1),1(*1),1,contactPointFormUrl,連絡先がWebFormの場合のURL,URI,http://www.ooo.lg.jp/abc.html,
6,pd,連絡先備考（その他、SNSなど）,,0,1,contactPointRemarks,SNSなどの連絡手段がある場合に記入,文字列,"Twitter: xxx, Instagram: xxx",
7,pd,郵便番号,,0,1,contactPointPostalCode,郵便番号,文字列（半角文字）,1234567,
8,pd,連絡先住所,必(*1),1(*1),1,contactPointAddress,連絡先住所の情報,pd:住所,住所型のデータモデルを格納,
9,pd,連絡先部署,,0,1,contactPointDepartment,連絡先部署の情報,文字列,デジタル部署,
10,pd,連絡先担当者名,,0,1,contactPointPersonsName,連絡先担当者の情報,文字列,田中　次郎,
