No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,ID,,0,1,identification,機械的に採番された設備を一意に識別するID。設備単位に付番する,文字列（半角文字）,1234567889,schema.org
2,pd,区分,,0,1,class,設備の区分,pd:コード情報型,"{""種別"": ""CityGML2.0 AnnexC.4"",""種別関連情報"": ""1020""}",
3,pd,種別情報,,0,1,typeInformation,設備の種類,pd:コード情報型,"{""種別"": ""公共測量標準図式コード"",""種別関連情報"": ""1110""}",
4,pd,名称,必,1,1,name,設備の名称,文字列,消火栓,IMI
5,pd,名称（カナ）,必,1,1,nameKana,設備のカナ表記,文字列,ショウカセン,IMI
6,pd,名称（英字）,必,1,1,nameEn,設備の英語名またはローマ字表記,文字列,hydrant,IMI
7,pd,説明,,0,1,description,設備情報として公開可能な詳細情報,文字列,1号消火栓。二人以上で操作の平ホース。,schema.org
8,pd,状態,,0,1,status,「稼働中」などのステータス,文字列,稼働中,
9,pd,設備住所,必,1,1,equipmentAddress,住所情報（住所型）,pd:住所,住所型のデータモデルを格納,
10,pd,サービス曜日,,0,1,serviceDay,設備を利用できる曜日,文字列,月火水木金,
11,pd,開始時刻,,0,1,startTime,設備を利用開始できる時間,時刻（HH:MM）,09:00,
12,pd,終了時刻,,0,1,endTime,設備の利用終了時間,時刻（HH:MM）,18:00,
13,pd,日時備考,,0,1,dateTimeRemarks,定型で表せない設備の利用日時情報,文字列,営業日時間のみ利用可能,
14,pd,URL,,0,1,url,AEDの設置場所写真のURLなど,URI,http://xxx,
15,pd,備考,,0,1,remarks,設備の備考,文字列,各階ごとに各部分からの消火栓のホース接続口までの水平距離が１号消火栓にあっては25m以下、2号消火栓にあっては15m以下となるようにすること。,
16,pd,連絡先情報,,0,1,contactPointInformation,連絡先の情報（連絡先型）,pd:連絡先,連絡先型のデータモデルを格納,schema.org
