No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,イベント名,必,1,1,eventName,名称を記載。,文字列,きおい川花火大会,
2,pd,イベント名（カナ）,,0,1,eventNameKana,名称をカナで記載。,文字列（全角カナ）,キオイガワハナビタイカイ,
3,pd,イベント名（英字）,,0,1,eventNameEn,名称を英語で記載。,文字列（半角文字）,kioiriver fireworks festival,
4,pd,言語コード,,0,1,languageCode,イベント情報の記述言語コード（JA、EN、CNなど）を記載。,文字列（半角文字）,JA;EN,
5,pd,通称,,0,1,alternateName,通称を記載。,文字列,きおい花火,schema.org
6,pd,サブタイトル,,0,1,subTitle,サブタイトルを記載。,文字列,第50回,
7,pd,概要,必,1,1,abstract,概要を記載。,文字列,毎年８月にきおい川河川敷で開催される花火大会。,schema.org
8,pd,説明,必,1,1,description,説明を記載。,文字列,きおい川花火大会は、50年の歴史のある花火大会です。県内だけでなく、近県からも多くの方が来られます。,schema.org
9,pd,サブイベント,,0,ｎ,subEvent,サブイベントのIDを記載。,文字列,XXXXX-00000,schema.org
10,pd,イベント種類,必,1,1,eventType,イベントの種類を記載。,文字列,花火大会,
11,pd,詳細URL,必,1,1,detailedUrl,イベントの詳細が掲載されているWebサイトのURLを記載。,URI,https://www.xxx-hanabi.com,
12,pd,コンテンツURL,,0,1,contentsUrl,イベントのコンテンツが掲載されているURLを記載。,URI,https://www.xxx-hanabi.com/content/index.html,
13,pd,状態,,0,1,status,状態を記載。,文字列,準備中,IMI
14,pd,キーワード,,0,1,keyword,検索用キーワードを記載（セミコロン区切りで列挙）。,文字列,きおい市;イベント;花火,IMI
15,pd,タグ,,0,1,tags,分類用のタグを記載（セミコロン区切りで列挙）。,文字列,きおい市;きおい川;花火大会,
16,pd,対象となる産業,,0,1,targetIndustries,イベントの対象となる産業（標準産業分類から選択）を記載。,文字列,8099 他に分類されない娯楽業,
17,pd,開催パターン,,0,1,holdingPattern,開催パターン（定期開催、通年開催など）を記載。,文字列,毎年８月に開催,
18,pd,開始日,,0,1,startDate,開始日を記載。,日付（YYYY-MM-DD）,2019-08-10,schema.org
19,pd,終了日,,0,1,endDate,終了日を記載。,日付（YYYY-MM-DD）,2019-08-10,schema.org
20,pd,開始時刻,,0,1,startTime,開始時刻を記載。,時刻（HH:MM）,18:00,schema.org
21,pd,終了時刻,,0,1,endTime,終了時刻を記載。,時刻（HH:MM）,20:00,schema.org
22,pd,日時備考,,0,1,dateTimeRemarks,日時に関する備考（最終日は早く終わることなど）を記載。,文字列,雨天中止,
23,pd,所要時間,,0,1,timeRequired,所要時間を記載。,時刻（HH:MM）,02:00,
24,pd,ID,必,1,1,identification,イベントに付与した一意のIDを記載。,文字列（半角文字）,XXXXX-00000,IMI
25,pd,掲載開始日,必,1,1,publicationStartDate,イベント情報の掲載開始日を記載。,日付（YYYY-MM-DD）,2019-07-01,
26,pd,掲載終了日,必,1,1,publicationEndDate,イベント情報の掲載終了日を記載。,日付（YYYY-MM-DD）,2019-08-30,
27,pd,場所名称,必,1,1,locationName,開催場所の名称を記載。,文字列,きおい川河川敷,
28,pd,集合（受付）場所,必,1,1,location,集合または受付場所を記載。,文字列,きおい川河川敷正門前,IMI
29,pd,開催場所住所,必,1,1,locationAddress,開催場所の住所を記載。,pd:住所,住所型のデータモデルを格納,IMI
30,pd,Web開催,必,1,1,webinar,Web開催の有無を記載。,文字列,有,
31,pd,Web開催URL,,0,n,webinarUrl,Web開催のURLを記載。,URI,https://www.xxx-hanabi.com/web/index.html,
32,pd,ツール・環境,,0,1,toolsAndEnvironment,Web開催時の使用ツールを記載（セミコロン区切りで列挙）。,文字列,zoom;Webex,
33,pd,主催団体,必,1,1,organizer,主催団体名を記載。,文字列,きおい市花火大会実行委員会,
34,pd,共催団体,,0,1,cosponsor,共催団体名を記載。,文字列,きおい商店街,
35,pd,関連組織,,0,1,associatedOrganization,協賛、協力などの開催に関連する団体名を記載。,文字列,きおい市,IMI
36,pd,対象者,必,1,1,targetPersons,対象者を記載。,文字列,きおい市民,IMI
37,pd,対象者備考,,0,1,targetRemarks,対象者に関する備考（カップル限定など）を記載。,文字列,18歳以上限定,
38,pd,定員,,0,1,capacity,定員を記載。,数値（半角数字）,5000,IMI
