No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,ID,必,1,1,identification,機械的に採番された施設を一意に識別するID。施設単位ごとに付番する,文字列（半角文字）,AB00000,IMI
2,pd,名称,必,1,1,name,施設の名称,文字列,きおい公民館,IMI
3,pd,名称（カナ）,必,1,1,nameKana,施設のカナ表記,文字列,キオイコウミンカン,IMI
4,pd,名称（英字）,必,1,1,nameEn,施設の英語名またはローマ字表記,文字列,KioiCommunityCenter,IMI
5,pd,通称,,0,1,alternateName,施設に通称がある場合に記入,文字列,キオセン,schema.org
6,pd,POIコード,必,1,1,poiCode,地理的目標物分類コード,文字列,1307,IMI
7,pd,概要,必,1,1,abstract,施設情報として公開可能なリード文。概要情報,文字列,きおい区住民向けのコミュニティスペース,schema.org
8,pd,説明,必,1,1,description,施設情報として公開可能な詳細情報,文字列,卓球スペース、茶室の無料貸し出し有り,schema.org
9,pd,関連施設,,0,ｎ,relatedFacility,提携している他施設の情報など,pd:施設,デジタルセンター等の施設型のデータモデルを格納,IMI
10,pd,状態,,0,1,status,「閉館中」、「営業中」などのステータス,文字列,営業中,
11,pd,防災施設情報,,0,1,shelter,避難場所、避難所、福祉避難所、防災倉庫などの情報,文字列,指定緊急避難所（地震、洪水、崖崩れ）,
12,pd,施設住所,必,1,1,facilityAddress,住所情報,pd:住所,住所型のデータモデルを格納,
13,pd,設備情報,,0,n,equipmentInformation,施設内に併設されている設備の情報,pd:設備,防火水槽等の設備型のデータモデルを格納,
14,pd,サービス曜日,必,1,1,serviceDay,施設を利用できる曜日,文字列,月火水木金,
15,pd,開始時刻,必,1,1,startTime,施設を利用開始できる時間,時刻（HH:MM）,10:00,
16,pd,終了時刻,必,1,1,endTime,施設の利用終了時間,時刻（HH:MM）,18:00,
17,pd,日時備考,,0,1,dateTimeRemarks,定型で表せない施設の利用日時情報,文字列,月曜日について祝日はお休み。また、12/31、1/1は終日お休み。,
18,pd,料金種別,必,1,1,feeType,「有料」、「無料」の区分,文字列,有料,
19,pd,料金,,0,1,fee,施設利用に必要な各種料金を日本円で記載(1円単位),数値（半角数字）,1500,IMI
20,pd,料金備考,,0,1,feeRemarks,料金の備考。例: １グループ1000円など,文字列,大人1名1500円、子供1名500円(18歳以下)、65歳以上1名1000円,
21,pd,決済種別,,0,1,paymentType,現金、クレジットカード、電子マネーなど,文字列,現金,
22,pd,収容人数,,0,1,maxCapacity,収容人数,数値（半角数字）,500,IMI
23,pd,アクセス方法,,0,1,accessMethod,公共交通や車でのアクセス方法を記載,文字列,JRきおい駅から徒歩15分,
24,pd,駐車場情報,,0,1,parkingInformation,駐車スペースについて記入,文字列,駐車スペース10台・身障者用駐車場1台,
25,pd,駐車場料金,,0,1,parkingFee,駐車場の料金の有料/無料種別,文字列,有料,
26,pd,都道府県コード,,1,1,prefectureCode,サービス担当区域の都道府県コード,文字列（半角数字）,13,IMI
27,pd,市区町村コード,,0,1,cityCode,サービス担当区域の市区町村コード,文字列（半角数字）,131016,IMI
28,pd,町丁字,,0,1,smallArea,サービス担当区域の町丁字,文字列,霞ヶ関一丁目,
29,pd,ポリゴン,,0,1,polygon,サービス担当区域を表すポリゴン情報へのリンク,URI,http://www.city.ooo.lg.jp/image/file0101.jpg,
30,pd,備考,,0,1,remarks,サービス担当区域の備考,文字列,きおい町も含む,
31,pd,連絡先情報,必,1,1,contactPointInformation,連絡先の情報,pd:連絡先（pd:施設連絡先）,施設連絡先型のデータモデルを格納,schema.org
32,pd,アクセリビリティ情報,,0,1,accessibilityInformation,アクセリビリティ情報,pd:アクセシビリティ,アクセシビリティ型のデータモデルを格納,
33,pd,子育て支援情報,,0,1,childcareServiceInformation,子育て支援情報,pd:子育て支援情報,子育て支援情報型のデータモデルを格納,
