No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,ID群,必,1,n,identificationGroup,個人番号、教員番号など,pd:ID情報型,"{""ID"": ""1234567"", ""ID種別"": ""教員番号""}",IMI
2,pd,氏,必,1,1,familyName,姓,文字列,山田,schema.org
3,pd,名,必,1,1,givenName,名,文字列,花子,schema.org
4,pd,氏（カナ）,必,1,1,familyNameKana,姓のカナ表記,文字列（全角カナ）,ヤマダ,IMI
5,pd,名（カナ）,必,1,1,givenNameKana,名のカナ表記,文字列（全角カナ）,ハナコ,IMI
6,pd,氏（英字）,,0,1,familyNameEn,姓のローマ字表記,文字列（半角英数字）,Yamada,
7,pd,名（英字）,,0,1,givenNameEn,名のローマ字表記,文字列（半角英数字）,Hanako,
8,pd,氏名,,0,1,fullName,氏名（姓、名のセット）,文字列,山田　花子,IMI
9,pd,氏名（カナ）,,0,1,fullNameKana,氏名（姓、名のセット）のカナ表記,文字列（全角カナ）,ヤマダ　ハナコ,IMI
10,pd,氏名（英字）,,0,1,fullNameEn,氏名（姓、名のセット）のローマ字表記,文字列（半角英数字）,Yamada Hanako,
11,pd,ミドルネームなど,,0,n,middleName,ミドルネーム、旧姓、別名、通称名など,pd:コード情報型,"{""種別"": ""旧姓"",""種別関連情報"": ""松尾""}",IMI
12,pd,ミドルネームなど（カナ）,,0,n,middleNameKana,ミドルネームなどのカナ表記,pd:コード情報型,"{""種別"": ""旧姓"",""種別関連情報"": ""マツオ""}",IMI
13,pd,ミドルネームなど（英字）,,0,n,middleNameEn,ミドルネームなどのローマ字表記,pd:コード情報型,"{""種別"": ""旧姓"",""種別関連情報"": ""Matsuo""}",
14,pd,戸籍氏名,,0,1,familyRegisterName,戸籍上の氏名表記,文字列,山田　花子,
15,pd,国籍,,0,1,nationality,国籍名,pd:コード情報型,"{""種別"": ""JPN"",""種別関連情報"": ""日本""}",
16,pd,出生国,,0,1,countryOfBirth,出生国名,pd:コード情報型,"{""種別"": ""JPN"",""種別関連情報"": ""日本""}",
17,pd,性別,必,1,1,sex,性別名,pd:コード情報型,"{""種別"": ""2"", ""種別関連情報"": ""女性""}",
18,pd,生年月日,,1,1,dateOfBirth,生年月日,日付（YYYY-MM-DD）,2000-01-01,
19,pd,死亡年月日,,0,1,dateOfDeath,死亡している場合、死亡年月日,日付（YYYY-MM-DD）,2000-01-01,
20,pd,年齢,,0,1,age,記録時点の年齢,数値（半角数字）,21,
21,pd,身長,,0,1,height,記録時点の身長（単位：cm),数値（半角数字）,155,
22,pd,体重,,0,1,weight,記録時点の体重（単位：kg),数値（半角数字）,40,
23,pd,機能支援の要否,,0,1,functionalSupportRequired,身体障碍や車椅子など、何らかの補助が必要かどうか,文字列,要,
24,pd,機能支援の種別,,0,1,functionalSupportType,視覚支援、聴覚支援、移動支援など,文字列,視覚支援,
25,pd,備考情報,,0,n,remarksInformation,秘匿事項（DV等）など、その他特筆事項,pd:コード情報型,"{""種別"": ""DV等被害者"", ""種別関連情報"": ""A""}",
26,pd,世帯主,,0,1,headOfHousehold,世帯主の情報,文字列,無,
27,pd,既婚・未婚,,0,1,marriedUnmarried,既婚か未婚の種別,文字列,有,
28,pd,配偶者,,0,1,spouse,配偶者の情報,文字列,有,
29,pd,子,,0,1,child,子の情報（子の有無）,文字列,有,
30,pd,学生,,0,1,student,学生かどうか,文字列,無,
31,pd,収入の有無,,0,1,incomeStatus,記録時点の収入の有無,文字列,無,
32,pd,居住住所,,0,1,residenceAddress,居住住所情報,pd:住所,住所型のデータモデルを格納,IMI
33,pd,役割関与情報,,0,n,roleInformation,委任先、保護者、続柄など,pd:役割関与情報型,"{{""種別"": ""続柄"", ""種別関連情報"": ""配偶者""}, 山田次郎の個人型のデータモデルを格納}",
34,pd,連絡先情報,必,1,1,contactPointInformation,連絡先住所の情報,pd:連絡先（pd:個人連絡先）,個人連絡先型のデータモデルを格納,schema.org
35,pd,戸籍氏,,0,1,familyRegisterFamilyName,戸籍上の氏,文字列,山田,
36,pd,戸籍名,,0,1,familyRegisterGivenName,戸籍上の名,文字列,花子,
