No.,プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,車椅子可,,0,1,WheelchairAccessible,車椅子の使用可否を記載。,文字列,有,
2,pd,車椅子貸出,,0,1,WheelchairRental,車椅子貸出の有無を記載。,文字列,有,
3,pd,ツエ貸出,,0,1,CaneRental,ツエ貸出の有無を記載。,文字列,有,
4,pd,多目的トイレ,,0,1,MultipurposeToilet,多目的トイレの有無を記載。,文字列,有,
5,pd,スロープ、エレベータ、エスカレータ,,0,1,"Ramps, Elevators, Escalators",スロープ、エレベータ、エスカレーターの有無を記載。,文字列,有,
6,pd,点字ブロック等の移動支援,,0,1,"MobilitySupportForBrailleBlocks, etc.",点字ブロック等の移動支援の有無を記載。,文字列,有,
7,pd,点字や読上による支援,,0,1,BrailleAndReadingAssistance,点字や読上による支援の有無を記載。,文字列,無,
8,pd,盲導犬・介助犬・聴導犬同伴,,0,1,AccompaniedByGuideDogsAndServiceDogs,盲導犬・介助犬・聴導犬などの同伴の有無を記載。,文字列,有,
9,pd,字幕,,0,1,Subtitles,字幕の有無を記載。,文字列,無,
10,pd,筆談対応,,0,1,WritingSupport,筆談対応の有無を記載。,文字列,有,
11,pd,優先駐車場,,0,1,PriorityParking,優先駐車場の有無を記載。,文字列,有,
12,pd,オストメイト対応トイレ,,0,1,ToiletForOstomates,オストメイト対応トイレの有無を記載。,文字列,有,
13,pd,備考,,0,1,Remarks,その他アクセシビリティ事項を記載。,文字列,特になし,
