"項目
No.",プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,全国地方公共団体コード,必,1,1,LocalGovernmentCode,全国地方公共団体コード（6桁、都道府県と市区町村まで含む）を記載。,文字列（半角数字）,131016,
2,pd,町字ID,必,1,1,StreetAddressID,アドレスベースレジストリの町字IDを記載。,文字列（半角文字）,1111000,
3,pd,都道府県,必,1,1,Prefecture,都道府県を記載。,文字列,東京都,IMI
4,pd,市区町村（郡）,必,1,1,CityAndCounty,市区町村（郡名および政令市区名を含む）記載。,文字列,千代田区,IMI
5,pd,町字,必,1,1,StreetAddress,町字を記載。,文字列,永田町１丁目,
6,pd,番地以下,必,1,1,CityBlock,番地以下（街区符号、住居番号または地番）を記載。,文字列,７ー１,
7,pd,建物名等(方書),必,1,1,"BuildingName, etc.",建物名、部屋番号、フロア名などを記載。,文字列,きおいビル19階Northフロア,
8,pd,連結表記,,0,1,FullAddress,都道府県から建物名まで連結して記載。,文字列,横浜県横浜市西区高島町一丁目１番１号きおいビル19階Northフロア,
9,pd,緯度,,0,1,Latitude,緯度（Geoコーダーで自動入力）を記載。,文字列（半角文字）,35.6809591,
10,pd,経度,,0,1,Longitude,経度（Geoコーダーで自動入力）を記載。,文字列（半角文字）,139.7673068,
11,pd,座標参照系,,0,1,CoordinateReferenceSystem,座標参照系（旧日本測地系、世界測地系などの種別）を記載。,文字列,世界測地系,
12,pd,座標参照系コード,,0,1,EPSG,EPSGコード,数値,JGD2011(日本測地系),
13,pd,国,,0,1,Country,国名を記載。,pd:コード情報型,"{""種別"": ""JPN"",""種別関連情報"": ""日本""}",schema.org
14,pd,郡,,0,1,County,郡名を記載。,文字列,西多摩郡,
15,pd,市区町村,,0,1,City,市区町村名を記載。,文字列,横浜市,IMI
16,pd,政令市区,,0,1,Ward,政令市区名を記載。,文字列,横浜市西区,IMI
17,pd,大字・町,,0,1,LargerSection・Town,大字および町を記載。,文字列,高島町,
18,pd,小字,,0,1,SmallAdministrativeUnit,小字および番地補足（イ・甲・北など）を記載。,文字列,甲１－１－１,
19,pd,住居表示フラグ,,0,1,DisplayedAddress Flag,住居表示フラグを記載。,数値（半角数字）,1:住居表示実施,
20,pd,街区符号,,0,1,AreaCode,街区符号を記載。,文字列,321,
21,pd,住居番号,,0,1,ResidenceNumber,住居番号を記載。,文字列,456,
22,pd,地番,,0,1,LandNumber,地番を記載。,文字列,123-456,
23,pd,建物名,,0,1,BuildingName,建物名を記載。,文字列,きおいビル,
24,pd,フロア名,,0,1,FloorName,フロア名を記載。,文字列,Northフロア,
25,pd,部屋番号,,0,1,LocatorName,部屋番号を記載。,文字列,301号,
