"項目
No.",プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,ID,,0,1,Identification,機械的に採番された建物を一意に識別するID。建物単位に付番する,文字列（半角文字）,1234567890123,schema.org
2,pd,種別情報,,0,1,TypeInformation,建物の種別,pd:コード情報型,"{""種別"": ""建築物用途区分コード"",""種別関連情報"": ""08010""}",IMI
3,pd,名称,必,1,1,Name,建物の名称,文字列,きおいレジデンス,IMI
4,pd,名称（カナ）,必,1,1,NameKana,建物のカナ表記,文字列,キオイレジデンス,IMI
5,pd,名称（英字）,必,1,1,NameEN,建物の英語名またはローマ字表記,文字列,kioi residence,IMI
6,pd,通称,,0,1,AlternateName,建物に通称がある場合に記入,文字列,きおいタワー,schema.org
7,pd,概要,,0,1,Abstract,建物情報として公開可能な概要情報,文字列,"所在地：東京都千代田区，地区計画面積：10,000㎡",schema.org
8,pd,説明,必,1,1,Description,建物情報として公開可能な詳細情報,文字列,東京都千代田区1丁目に位置する分譲マンションで、総戸数100戸で30階建ての大規模マンションです。,schema.org
9,pd,関連建物,,0,1,RelatedBuilding,提携している他建物の情報など（建物型）,pd:建物,建物型のデータモデルを格納,
10,pd,状態,,0,1,Status,「建築」、「稼働中」、「閉鎖中」などのステータス,文字列,建築中,
11,pd,建物住所,必,1,1,BuildingAddress,住所情報（住所型）,pd:住所,住所型のデータモデルを格納,
12,pd,設備情報,,0,1,EquipmentInformation,建物内に併設されている設備の情報,pd:設備,設備型のデータモデルを格納,
13,pd,敷地面積,,0,1,SiteArea,建物の敷地面積(m2),半角数字,100,
14,pd,主要機能,,0,1,MainFunctions,建物の主な働き,文字列,耐火建物,
15,pd,用途,,0,n,Usage,建物の主要用途の表記,pd:コード情報型,"{""種別"": ""都市計画基礎調査実施要領コード"",""種別関連情報"": ""411""}",IMI
16,pd,建築面積,,0,1,BuildingArea,建物の建築面積(m2),半角数字,100,IMI
17,pd,延べ面積,,0,1,TotalFloorArea,建物の延べ床面積(m2),半角数字,300,IMI
18,pd,最高の高さ,,0,1,MaximumHeight,建物の最高点の高さ(m),半角数字,12,IMI
19,pd,地上階数,,0,1,NumberOfAboveGroundFloors,建物の地上階数,半角数字,3,IMI
20,pd,地下階数,,0,1,NumberOfUnderGroundFloors,建物の地下階数,半角数字,1,IMI
21,pd,構造,,0,1,Structure,建物の構造の表記,pd:コード情報型,"{""種別"": ""不動産登記構造"",""種別関連情報"": ""鉄骨鉄筋コンクリート""}",IMI
22,pd,竣工日,,0,1,CompletionDate,建物の竣工日,日付（YYYY-MM-DD）,2022-04-01,IMI
24,pd,備考,,0,1,Remarks,建物の備考,文字列,駅近。日当たり良好。,
25,pd,連絡先情報,,0,1,ContactPointInformation,連絡先の情報（連絡先型）,pd:連絡先,連絡先型のデータモデルを格納,schema.org
26,pd,アクセリビリティ情報,,0,1,AccessibilityInformation,アクセリビリティ情報（アクセシビリティ型）,pd:アクセシビリティ,アクセシビリティ型のデータモデルを格納,
