"項目
No.",プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1,pd,法人番号,必,1,1,LegalEntityNumber,法人番号（13桁）を記載。法人番号が指定されている場合は必須。,数値（半角数字）,8000012010038,
2,pd,ID群,,0,n,IdentificationGroup,法人に付与した一意のIDを記載。,pd:ID情報型,"{""ID"": ""XXXXX-00000"", ""ID種別"": ""99""}",IMI
3,pd,商号または名称,必,1,1,TradeName,商号または名称を記載。,文字列,株式会社GIF,
4,pd,商号または名称（カナ）,必,1,1,TradeNameKana,名称をカナで記載。,文字列（全角カナ）,カブシキガイシャジーアイエフ,
5,pd,商号または名称（英字）,,0,1,TradeNameEN,名称を英語で記載。,文字列（半角文字）,"GIF Co., Ltd.",
6,pd,組織種別位置（前株、後株）,,0,1,OrganizationType Position,組織種別（株式会社等）を法人名の前後のどちらに付与するかを記載。,文字列,前株,
7,pd,組織種別,,0,1,CategoryOfOrganization,組織種別（株式会社、有限会社、合名会社、合資会社、合同会社等）を記載。,文字列,株式会社,IMI
8,pd,略称アルファベット,,0,1,AbbreviatedAlphabet,略称アルファベットを記載。,文字列（半角文字）,DA,
9,pd,通称,,0,1,AlternateName,通称を記載。,文字列,GIF,schema.org
10,pd,事業活動状況,,0,1,ActivityStatus,活動状況（倒産、破産、休眠、休業、廃業等）を記載。,文字列,営業中,IMI
11,pd,説明,,0,1,Description,説明を記載,文字列,株式会社GIFは情報通信サービスの提供を中心としたDX事業を推進する企業です。,
12,pd,WebサイトURL,,0,1,WebSite,法人に関する情報源を示すWebサイトURLを記載。,URI,https://www.xxx.com,schema.org
13,pd,関連組織,,0,n,AssociatedOrganization,関連組織（子会社、提携先等）を記載。,文字列,株式会社きおい,IMI
14,pd,正社員数,,0,1,NumberOfRegular Employees,正社員数を記載。,数値（半角数字）,1000,
15,pd,従業員数,,0,1,NumberOfEmployee,従業員数を記載。,数値（半角数字）,1500,schema.org
16,pd,地物（関連施設）,,0,n,Feature,法人に関連する地物（関連施設）を記載。,文字列,きおいビル,IMI
17,pd,代表者名称,,0,1,RepresentativeName,代表者名称を記載。,pd:個人,山田太郎の個人型のデータモデルを格納,
18,pd,代表者役職名,,0,1,RepresentativePosition,代表者役職名を記載。,文字列,代表取締役,
19,pd,設立年月日,,0,1,EstablishedDate,設立日を記載。,日付（YYYY-MM-DD）,1990-04-01,IMI
20,pd,創業年,,0,1,YearOfEstablishment,創業年を記載。,文字列,1990年,
21,pd,事業種目,,0,n,BusinessCategory,事業種目（日本標準産業分類）を記載。,文字列,3921 情報処理サービス業,IMI
22,pd,事業年度開始日,,0,1,FiscalYearStartDay,事業年度の開始日を記載。,日付（MM-DD）,04-01,IMI
23,pd,資本金,,0,1,Capital,資本金を記載。,数値（半角数字）,10000000,IMI
24,pd,登記住所,,0,1,RegisteredAddress,登記住所を記載。,pd:住所,住所型のデータモデルを格納,IMI
25,pd,事業所情報,,0,n,BusinessPlaceformation,事業所情報を記載。,pd:事業所,事業所型のデータモデルを格納,
26,pd,連絡先情報,必,1,1,ContactPointInformation,連絡先情報を記載。,pd:連絡先（pd:法人連絡先）,法人連絡先型のデータモデルを格納,schema.org
