"項目
No.",プレフィックス,項目名,必須項目,最小回数,最大数,項目名（英語）,説明,形式,記入例,名称・形式等の参考元
1.0,pd,連絡先名称,,0,1,,,,,
2.0,pd,連絡先電話番号,"必
(*1)","1
(*1)",n,,,,,
3.0,pd,連絡先内線番号,"必
(*1)","1
(*1)",1,,,,,
4.0,pd,連絡先メールアドレス,"必
(*1)","1
(*1)",1,,,,,
5.0,pd,連絡先FormURL,"必
(*1)","1
(*1)",1,,,,,
6.0,pd,連絡先備考（その他、SNSなど）,,0,1,,,,,
7.0,pd,郵便番号,,0,1,,,,,
8.0,pd,連絡先住所,"必
(*1)","1
(*1)",1,,,,,
9.0,pd,連絡先部署,,0,1,ContactPointDepartment,,文字列,デジタル部署,
10.0,pd,連絡先担当者名,,0,1,ContactPointPersonsName,,文字列,田中　次郎,
,,,,,,赤字はIMI又はSchema.org参照、緑字は翻訳ツール利用,,,,
